P-1 relative modmul count for stage 2 with b1=1m, b2=30m, best-bigstep option as tabulated in the
comments preceding my pm1_bigstep_size() function, for various prime-pairing #memory buffers:
#buf	#modmul
  24 1.00000000000000000000
  40 0.94138773325629738116
  48 0.92740481217168044188
  72 0.86767843536398087761
  80 0.86074072083480994905
  96 0.83101581644392863201
 120 0.80442105746400556719
 144 0.78374955701528234292
 160 0.77282735940798766528
 168 0.76741692741880852926
 192 0.75413606363080072042
 200 0.74602321491854959665
 216 0.74320938718907791436
 240 0.72551239265493547959
 280 0.70928837479334378021
 320 0.69613179866071653512
 336 0.69459499859756496969
 360 0.68523479449708007988
 384 0.68135948300814196113
 400 0.67617411244897627841
 432 0.67047815476500395537
 440 0.66840613398769104328
 480 0.66141411359107905758
 520 0.65619459191939889563
 528 0.65365901177877469167
 560 0.65110495644613445796
 576 0.64716694127520254129
 600 0.64677560311704482025
 624 0.64151017339247634195
 672 0.63652914965409401857
 720 0.63217516273564967452
 768 0.62836031551149128950
 816 0.62483771223376828414
 864 0.62172716172343309377
 912 0.61890717559662273489
 960 0.61633464507196647144
1008 0.61408235120892139029
1040 0.61240950655001542398
1056 0.61196946106745180634
1104 0.60997358047541707745
1120 0.60748670765919877011
1200 0.60309241123090127025
1280 0.59918350848375218833
1360 0.59569673588145421035
1440 0.59258058682808385945
1520 0.58975556201254185610
1600 0.58720542566002623477
1680 0.58489434709511196806
1760 0.58283856209260102151
1824 0.58255863494084299501
1840 0.58092777935470073268
1920 0.57913848500066342734
2000 0.57749587247414732789
2080 0.57601449798704385170
2112 0.57561308245142284171
2160 0.57463221771166271689
2208 0.57365527195202720444
2240 0.57334175354205821477
2304 0.57187661482975670411
2400 0.57025303734956015046
